Contig,Start,Stop,Score,Threhold
CP040687_1,1,5000,0.177,13.140
CP040687_1,27500,35000,0.212,13.140
CP040687_1,55000,67500,0.147,13.140
CP040687_1,80000,87500,0.196,13.140
CP040687_1,112500,122500,0.21,13.140
CP040687_1,180000,185000,0.136,13.140
CP040687_1,292500,305000,0.173,13.140
CP040687_1,317500,325000,0.173,13.140
CP040687_1,380000,385000,0.197,13.140
CP040687_1,535000,550000,0.195,13.140
CP040687_1,575000,582500,0.195,13.140
CP040687_1,610000,622500,0.305,13.140
CP040687_1,635000,640000,0.142,13.140
CP040687_1,660000,665000,0.153,13.140
CP040687_1,702500,707500,0.145,13.140
CP040687_1,745000,750000,0.149,13.140
CP040687_1,792500,810000,0.412,13.140
CP040687_1,822500,827500,0.141,13.140
CP040687_1,840000,847500,0.144,13.140
CP040687_1,890000,902500,0.237,13.140
CP040687_1,920000,925000,0.141,13.140
CP040687_1,990000,995000,0.146,13.140
CP040687_1,1007500,1015000,0.149,13.140
CP040687_1,1027500,1032500,0.149,13.140
CP040687_1,1112500,1120000,0.162,13.140
CP040687_1,1122500,1127500,0.139,13.140
CP040687_1,1152500,1160000,0.14,13.140
CP040687_1,1197500,1210000,0.145,13.140
CP040687_1,1287500,1295000,0.149,13.140
CP040687_1,1322500,1347500,0.192,13.140
CP040687_1,1495000,1510000,0.661,13.140
CP040687_1,1560000,1580000,0.257,13.140
CP040687_1,1582500,1587500,0.135,13.140
CP040687_1,1607500,1625000,0.189,13.140
CP040687_1,1635000,1642500,0.176,13.140
CP040687_1,1665000,1675000,0.221,13.140
CP040687_1,1825000,1830000,0.135,13.140
CP040687_1,1855000,1865000,0.342,13.140
CP040687_1,1887500,1895000,0.171,13.140
CP040687_1,1900000,1905000,0.17,13.140
CP040687_1,1927500,1932500,0.136,13.140
CP040687_1,1990000,2000000,0.167,13.140
CP040687_1,2220000,2237500,0.176,13.140
CP040687_1,2257500,2262500,0.171,13.140
CP040687_1,2335000,2340000,0.134,13.140
CP040687_1,2367500,2380000,0.224,13.140
CP040687_1,2392500,2397500,0.152,13.140
CP040687_1,2437500,2442500,0.143,13.140
CP040687_1,2450000,2460000,0.18,13.140
CP040687_1,2462500,2467500,0.181,13.140
CP040687_1,2512500,2560000,0.19,13.140
CP040687_1,2702500,2710000,0.147,13.140
CP040687_1,2782500,2790000,0.153,13.140
CP040687_1,2792500,2797500,0.146,13.140
CP040687_1,2825000,2842500,0.33,13.140
CP040687_1,2887500,2895000,0.146,13.140
CP040687_1,2945000,2955000,0.178,13.140
CP040687_1,3035000,3055000,0.219,13.140
CP040687_1,3057500,3075000,0.192,13.140
CP040687_1,3095000,3102500,0.177,13.140
CP040687_1,3197500,3205000,0.158,13.140
CP040687_1,3275000,3297500,0.192,13.140
CP040687_1,3305000,3312500,0.171,13.140
CP040687_1,3332500,3340000,0.24,13.140
CP040687_1,3350000,3357500,0.227,13.140
CP040687_1,3472500,3477500,0.171,13.140
CP040687_1,3487500,3505000,0.214,13.140
CP040687_1,3510000,3520000,0.292,13.140
CP040687_1,3535000,3550000,0.283,13.140
CP040687_1,3560000,3572500,0.145,13.140
CP040687_1,3612500,3627500,0.242,13.140
CP040687_1,3632500,3640000,0.168,13.140
CP040687_1,3647500,3655000,0.258,13.140
CP040687_1,3692500,3697500,0.177,13.140
CP040687_1,3725000,3737500,0.201,13.140
CP040687_1,3742500,3747500,0.162,13.140
CP040687_1,3795000,3822500,0.269,13.140
CP040687_1,3892500,3902500,0.155,13.140
CP040687_1,3915000,3920000,0.141,13.140
CP040687_1,3935000,3942500,0.174,13.140
CP040687_1,3947500,3955000,0.164,13.140
CP040687_1,4000000,4005000,0.149,13.140
CP040687_1,4010000,4045000,0.192,13.140
CP040687_1,4097500,4102500,0.135,13.140
CP040687_1,4280000,4285000,0.147,13.140
CP040687_1,4287500,4292500,0.145,13.140
CP040687_1,4502500,4512500,0.138,13.140
CP040687_1,4540000,4557500,0.199,13.140
CP040687_1,4612500,4622500,0.332,13.140
CP040687_1,4625000,4645000,0.232,13.140
CP040687_1,4655000,4662500,0.199,13.140
CP040687_1,4680000,4692500,0.45,13.140
CP040687_1,4722500,4730000,0.22,13.140
CP040687_1,4760000,4780000,0.344,13.140
CP040687_1,4852500,4857500,0.158,13.140
CP040687_1,4862500,4867500,0.141,13.140
CP040687_1,4905000,4910000,0.167,13.140
CP040687_1,4912500,4917500,0.146,13.140
CP040687_1,4930000,4940000,0.57,13.140
CP040687_1,4947500,4952500,0.155,13.140
CP040687_1,5060000,5072500,0.33,13.140
