############################################
CP033192_1 ( Unknown ) 
--------------------------------------------
### System: CAS-TypeIC (UserReplicon_CAS-TypeIC_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP033192_1_861	cas2_TypeI-II-III	accessory	CAS	CDS	912349	912639	-	ID=1_861;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.601;conf=99.98;score=37.44;cscore=21.38;sscore=16.06;rscore=10.21;uscore=0.13;tscore=4.60;
CP033192_1_862	cas1_TypeIC	mandatory	CAS-TypeIC	CDS	912654	913688	-	ID=1_862;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.664;conf=100.00;score=164.27;cscore=146.95;sscore=17.32;rscore=10.21;uscore=1.26;tscore=4.60;
CP033192_1_863	cas4_TypeI-II	accessory	CAS	CDS	913691	914323	-	ID=1_863;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684;conf=100.00;score=104.21;cscore=87.75;sscore=16.46;rscore=10.21;uscore=0.59;tscore=4.60;
CP033192_1_864	cas7c_TypeIC	mandatory	CAS-TypeIC	CDS	914343	915209	-	ID=1_864;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.630;conf=99.99;score=189.73;cscore=167.59;sscore=22.13;rscore=15.02;uscore=1.22;tscore=4.60;
CP033192_1_865	cas8c_TypeIC	mandatory	CAS-TypeIC	CDS	915206	917050	-	ID=1_865;partial=00;start_type=ATG;rbs_motif=4Base/6BMM;rbs_spacer=13-15bp;gc_cont=0.637;conf=99.99;score=220.82;cscore=214.92;sscore=5.89;rscore=-1.25;uscore=-1.52;tscore=4.60;
CP033192_1_866	cas5c_TypeIC	mandatory	CAS-TypeIC	CDS	917047	917721	-	ID=1_866;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662;conf=100.00;score=101.91;cscore=93.84;sscore=8.08;rscore=2.55;uscore=0.93;tscore=4.60;
CP033192_1_867	cas3_TypeI	accessory	CAS	CDS	917849	920140	-	ID=1_867;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.636;conf=99.99;score=259.60;cscore=245.81;sscore=13.79;rscore=10.21;uscore=-0.36;tscore=4.60;
####Summary system CAS-TypeIC:begin=912349;end=920140:{sequenceID=CP033192_1} : [cas2_TypeI-II-III (912349,912639,-); cas1_TypeIC (912654,913688,-); cas4_TypeI-II (913691,914323,-); cas7c_TypeIC (914343,915209,-); cas8c_TypeIC (915206,917050,-); cas5c_TypeIC (917047,917721,-); cas3_TypeI (917849,920140,-)]


