############################################
CP073820_1 ( Unknown ) 
--------------------------------------------
### System: CAS-TypeIC (UserReplicon_CAS-TypeIC_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP073820_1_4112	cas3_TypeI	accessory	CAS	CDS	4321151	4323442	+	ID=1_4112;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.637;conf=99.99;score=262.04;cscore=247.42;sscore=14.62;rscore=10.24;uscore=-0.21;tscore=4.60;
CP073820_1_4113	cas5c_TypeIC	mandatory	CAS-TypeIC	CDS	4323570	4324244	+	ID=1_4113;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.661;conf=100.00;score=102.12;cscore=93.88;sscore=8.23;rscore=2.54;uscore=1.10;tscore=4.60;
CP073820_1_4114	cas8c_TypeIC	mandatory	CAS-TypeIC	CDS	4324241	4326085	+	ID=1_4114;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.637;conf=99.99;score=222.06;cscore=216.16;sscore=5.89;rscore=-1.31;uscore=-1.41;tscore=4.60;
CP073820_1_4115	cas7c_TypeIC	mandatory	CAS-TypeIC	CDS	4326082	4326948	+	ID=1_4115;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.629;conf=99.99;score=190.13;cscore=168.18;sscore=21.95;rscore=14.97;uscore=1.09;tscore=4.60;
CP073820_1_4116	cas4_TypeI-II	accessory	CAS	CDS	4326968	4327600	+	ID=1_4116;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684;conf=100.00;score=104.11;cscore=87.73;sscore=16.38;rscore=10.24;uscore=0.47;tscore=4.60;
CP073820_1_4117	cas1_TypeIC	mandatory	CAS-TypeIC	CDS	4327603	4328637	+	ID=1_4117;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.662;conf=100.00;score=163.50;cscore=146.45;sscore=17.05;rscore=10.24;uscore=0.96;tscore=4.60;
CP073820_1_4118	cas2_TypeI-II-III	accessory	CAS	CDS	4328652	4328942	+	ID=1_4118;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598;conf=99.98;score=37.76;cscore=21.46;sscore=16.30;rscore=10.24;uscore=0.34;tscore=4.60;
####Summary system CAS-TypeIC:begin=4321151;end=4328942:{sequenceID=CP073820_1} : [cas3_TypeI (4321151,4323442,+); cas5c_TypeIC (4323570,4324244,+); cas8c_TypeIC (4324241,4326085,+); cas7c_TypeIC (4326082,4326948,+); cas4_TypeI-II (4326968,4327600,+); cas1_TypeIC (4327603,4328637,+); cas2_TypeI-II-III (4328652,4328942,+)]


