############################################
CP000967_2 ( Unknown ) 
--------------------------------------------
### System: CAS-TypeIC (UserReplicon_CAS-TypeIC_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP000967_2_4305	cas3_TypeI	accessory	CAS	CDS	4531688	4533979	+	ID=1_4305;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.637;conf=99.99;score=261.42;cscore=246.73;sscore=14.69;rscore=10.26;uscore=-0.17;tscore=4.59;
CP000967_2_4306	cas5c_TypeIC	mandatory	CAS-TypeIC	CDS	4534107	4534781	+	ID=1_4306;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.661;conf=100.00;score=102.04;cscore=93.80;sscore=8.24;rscore=2.57;uscore=1.08;tscore=4.59;
CP000967_2_4307	cas8c_TypeIC	mandatory	CAS-TypeIC	CDS	4534778	4536622	+	ID=1_4307;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.637;conf=99.99;score=221.93;cscore=216.04;sscore=5.89;rscore=-1.21;uscore=-1.56;tscore=4.59;
CP000967_2_4308	cas7c_TypeIC	mandatory	CAS-TypeIC	CDS	4536619	4537485	+	ID=1_4308;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.629;conf=99.99;score=190.17;cscore=168.36;sscore=21.81;rscore=14.94;uscore=0.99;tscore=4.59;
CP000967_2_4309	cas4_TypeI-II	accessory	CAS	CDS	4537505	4538137	+	ID=1_4309;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684;conf=100.00;score=104.15;cscore=87.73;sscore=16.41;rscore=10.26;uscore=0.49;tscore=4.59;
CP000967_2_4310	cas1_TypeIC	mandatory	CAS-TypeIC	CDS	4538140	4539174	+	ID=1_4310;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.662;conf=100.00;score=163.56;cscore=146.53;sscore=17.03;rscore=10.26;uscore=0.93;tscore=4.59;
CP000967_2_4311	cas2_TypeI-II-III	accessory	CAS	CDS	4539189	4539479	+	ID=1_4311;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598;conf=99.98;score=37.60;cscore=21.38;sscore=16.22;rscore=10.26;uscore=0.24;tscore=4.59;
####Summary system CAS-TypeIC:begin=4531688;end=4539479:{sequenceID=CP000967_2} : [cas3_TypeI (4531688,4533979,+); cas5c_TypeIC (4534107,4534781,+); cas8c_TypeIC (4534778,4536622,+); cas7c_TypeIC (4536619,4537485,+); cas4_TypeI-II (4537505,4538137,+); cas1_TypeIC (4538140,4539174,+); cas2_TypeI-II-III (4539189,4539479,+)]


