,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000026103|gyrB|P0AES6|replication/recombination/repair|NA|Multiple|Manual,CP007166_1_4 # 5225 # 7669 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643,61.3,966.1,804,3.6e-280,815,2,804,12,814,mobileOG_000026103,gyrB,P0AES6,replication/recombination/repair,NA,Multiple,Manual,CP007166_1_4, 5225 # 7669 # 1 , 5225,7669,1 ,1_4,1,4,00,ATG,None,None,0.643,CP007166_1,mobileOG_000026103_CP007166_1
1,mobileOG_000277182|insH6|Q5H6N2|integration/excision|NA|ISFinder|Homology,CP007166_1_18 # 23159 # 24139 # -1 # ID=1_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.624,96.6,627.1,326,1.6e-178,327,1,326,1,326,mobileOG_000277182,insH6,Q5H6N2,integration/excision,NA,ISFinder,Homology,CP007166_1_18, 23159 # 24139 # -1 , 23159,24139,-1 ,1_18,1,18,00,ATG,None,None,0.624,CP007166_1,mobileOG_000277182_CP007166_1
2,mobileOG_000418745|NA:Keyword|A0A1L5Y8X5|integration/excision|NA|COMPASS|Keyword Search,CP007166_1_27 # 32316 # 32672 # 1 # ID=1_27;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.583,65.2,151.4,125,9.4e-36,119,5,116,6,117,mobileOG_000418745,NA:Keyword,A0A1L5Y8X5,integration/excision,NA,COMPASS,Keyword Search,CP007166_1_27, 32316 # 32672 # 1 , 32316,32672,1 ,1_27,1,27,00,ATG,None,None,0.583,CP007166_1,mobileOG_000418745_CP007166_1
3,mobileOG_000726765|NA:Keyword|Q9AG81|integration/excision|NA|ISFinder|Keyword Search,CP007166_1_28 # 32659 # 33114 # 1 # ID=1_28;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588,99.3,304.3,266,1.1e-81,152,116,266,1,151,mobileOG_000726765,NA:Keyword,Q9AG81,integration/excision,NA,ISFinder,Keyword Search,CP007166_1_28, 32659 # 33114 # 1 , 32659,33114,1 ,1_28,1,28,00,GTG,GGA/GAG/AGG,5-10bp,0.588,CP007166_1,mobileOG_000726765_CP007166_1
4,mobileOG_000041116|insH6|WP_022557821.1|integration/excision|NA|Multiple|Homology,CP007166_1_31 # 34520 # 34723 # -1 # ID=1_31;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608,88.1,118.2,327,5e-26,68,1,59,1,59,mobileOG_000041116,insH6,WP_022557821.1,integration/excision,NA,Multiple,Homology,CP007166_1_31, 34520 # 34723 # -1 , 34520,34723,-1 ,1_31,1,31,00,ATG,GGA/GAG/AGG,5-10bp,0.608,CP007166_1,mobileOG_000041116_CP007166_1
5,mobileOG_000725766|NA:Keyword|Q6B332|integration/excision|NA|ISFinder|Keyword Search,CP007166_1_37 # 39542 # 40498 # -1 # ID=1_37;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.627,99.7,617.1,318,1.6e-175,319,1,318,1,318,mobileOG_000725766,NA:Keyword,Q6B332,integration/excision,NA,ISFinder,Keyword Search,CP007166_1_37, 39542 # 40498 # -1 , 39542,40498,-1 ,1_37,1,37,00,ATG,GGAG/GAGG,5-10bp,0.627,CP007166_1,mobileOG_000725766_CP007166_1
6,mobileOG_000726764|NA:Keyword|Q9L792|integration/excision|NA|ISFinder|Keyword Search,CP007166_1_38 # 40546 # 41457 # -1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.617,98.0,586.6,320,2.1999999999999998e-166,304,1,294,1,294,mobileOG_000726764,NA:Keyword,Q9L792,integration/excision,NA,ISFinder,Keyword Search,CP007166_1_38, 40546 # 41457 # -1 , 40546,41457,-1 ,1_38,1,38,00,ATG,GGAGG,5-10bp,0.617,CP007166_1,mobileOG_000726764_CP007166_1
7,mobileOG_000343778|insI3|WP_028853927.1|integration/excision|NA|Plasmid RefSeq|Homology,CP007166_1_46 # 45799 # 46503 # -1 # ID=1_46;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.594,75.8,368.2,339,9.6e-101,235,107,329,1,223,mobileOG_000343778,insI3,WP_028853927.1,integration/excision,NA,Plasmid RefSeq,Homology,CP007166_1_46, 45799 # 46503 # -1 , 45799,46503,-1 ,1_46,1,46,00,ATG,None,None,0.594,CP007166_1,mobileOG_000343778_CP007166_1
8,mobileOG_000312220|istA|WP_106561525.1|integration/excision|NA|Plasmid RefSeq|Homology,CP007166_1_47 # 46887 # 47918 # -1 # ID=1_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.641,65.1,444.9,344,1.2e-123,344,1,344,2,343,mobileOG_000312220,istA,WP_106561525.1,integration/excision,NA,Plasmid RefSeq,Homology,CP007166_1_47, 46887 # 47918 # -1 , 46887,47918,-1 ,1_47,1,47,00,ATG,None,None,0.641,CP007166_1,mobileOG_000312220_CP007166_1
9,mobileOG_000041116|insH6|WP_022557821.1|integration/excision|NA|Multiple|Homology,CP007166_1_50 # 49039 # 50019 # -1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.619,93.3,612.5,327,4.1e-174,327,1,327,1,326,mobileOG_000041116,insH6,WP_022557821.1,integration/excision,NA,Multiple,Homology,CP007166_1_50, 49039 # 50019 # -1 , 49039,50019,-1 ,1_50,1,50,00,ATG,None,None,0.619,CP007166_1,mobileOG_000041116_CP007166_1
