############################################
CP047493_1 ( Unknown ) 
--------------------------------------------
### System: CAS-TypeIC (UserReplicon_CAS-TypeIC_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP047493_1_3906	cas3_TypeI	accessory	CAS	CDS	4074322	4076613	+	ID=1_3906;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.636;conf=99.99;score=259.48;cscore=244.99;sscore=14.49;rscore=10.27;uscore=-0.38;tscore=4.60;
CP047493_1_3907	cas5c_TypeIC	mandatory	CAS-TypeIC	CDS	4076741	4077415	+	ID=1_3907;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.661;conf=100.00;score=101.80;cscore=93.57;sscore=8.23;rscore=2.47;uscore=1.16;tscore=4.60;
CP047493_1_3908	cas8c_TypeIC	mandatory	CAS-TypeIC	CDS	4077412	4079256	+	ID=1_3908;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.637;conf=99.99;score=222.12;cscore=216.23;sscore=5.90;rscore=-1.00;uscore=-1.56;tscore=4.60;
CP047493_1_3909	cas7c_TypeIC	mandatory	CAS-TypeIC	CDS	4079253	4080119	+	ID=1_3909;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.629;conf=99.99;score=190.13;cscore=168.27;sscore=21.86;rscore=14.91;uscore=1.05;tscore=4.60;
CP047493_1_3910	cas4_TypeI-II	accessory	CAS	CDS	4080139	4080771	+	ID=1_3910;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684;conf=100.00;score=103.89;cscore=87.62;sscore=16.27;rscore=10.27;uscore=0.33;tscore=4.60;
CP047493_1_3911	cas1_TypeIC	mandatory	CAS-TypeIC	CDS	4080849	4081808	+	ID=1_3911;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.667;conf=100.00;score=140.23;cscore=139.44;sscore=0.79;rscore=-3.89;uscore=0.08;tscore=4.60;
CP047493_1_3912	cas2_TypeI-II-III	accessory	CAS	CDS	4081823	4082113	+	ID=1_3912;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598;conf=99.98;score=36.68;cscore=20.46;sscore=16.22;rscore=10.27;uscore=0.23;tscore=4.60;
####Summary system CAS-TypeIC:begin=4074322;end=4082113:{sequenceID=CP047493_1} : [cas3_TypeI (4074322,4076613,+); cas5c_TypeIC (4076741,4077415,+); cas8c_TypeIC (4077412,4079256,+); cas7c_TypeIC (4079253,4080119,+); cas4_TypeI-II (4080139,4080771,+); cas1_TypeIC (4080849,4081808,+); cas2_TypeI-II-III (4081823,4082113,+)]


