,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000026103|gyrB|P0AES6|replication/recombination/repair|NA|Multiple|Manual,CP019515_4 # 5225 # 7669 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.643,61.3,966.1,804,3.6e-280,815,2,804,12,814,mobileOG_000026103,gyrB,P0AES6,replication/recombination/repair,NA,Multiple,Manual,CP019515_4, 5225 # 7669 # 1 , 5225,7669,1 ,1_4,1,4,00,ATG,None,None,0.643,CP019515,mobileOG_000026103_CP019515
1,mobileOG_000277182|insH6|Q5H6N2|integration/excision|NA|ISFinder|Homology,CP019515_18 # 23147 # 24127 # -1 # ID=1_18;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.623,96.6,627.1,326,1.6e-178,327,1,326,1,326,mobileOG_000277182,insH6,Q5H6N2,integration/excision,NA,ISFinder,Homology,CP019515_18, 23147 # 24127 # -1 , 23147,24127,-1 ,1_18,1,18,00,ATG,None,None,0.623,CP019515,mobileOG_000277182_CP019515
2,mobileOG_000041116|insH6|WP_022557821.1|integration/excision|NA|Multiple|Homology,CP019515_28 # 33678 # 33881 # -1 # ID=1_28;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608,88.1,118.2,327,5e-26,68,1,59,1,59,mobileOG_000041116,insH6,WP_022557821.1,integration/excision,NA,Multiple,Homology,CP019515_28, 33678 # 33881 # -1 , 33678,33881,-1 ,1_28,1,28,00,ATG,GGA/GAG/AGG,5-10bp,0.608,CP019515,mobileOG_000041116_CP019515
3,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP019515_34 # 38245 # 39201 # -1 # ID=1_34;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.625,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP019515_34, 38245 # 39201 # -1 , 38245,39201,-1 ,1_34,1,34,00,ATG,GGAG/GAGG,5-10bp,0.625,CP019515,mobileOG_000725735_CP019515
4,mobileOG_000338730|insH6|WP_011258529.1|integration/excision|NA|Plasmid RefSeq|Homology,CP019515_39 # 41962 # 42930 # -1 # ID=1_39;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.614,100.0,649.4,322,3e-185,323,1,322,1,322,mobileOG_000338730,insH6,WP_011258529.1,integration/excision,NA,Plasmid RefSeq,Homology,CP019515_39, 41962 # 42930 # -1 , 41962,42930,-1 ,1_39,1,39,00,ATG,AGGAG,5-10bp,0.614,CP019515,mobileOG_000338730_CP019515
5,mobileOG_000343778|insI3|WP_028853927.1|integration/excision|NA|Plasmid RefSeq|Homology,CP019515_43 # 45018 # 45722 # -1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.596,75.8,368.2,339,9.6e-101,235,107,329,1,223,mobileOG_000343778,insI3,WP_028853927.1,integration/excision,NA,Plasmid RefSeq,Homology,CP019515_43, 45018 # 45722 # -1 , 45018,45722,-1 ,1_43,1,43,00,ATG,None,None,0.596,CP019515,mobileOG_000343778_CP019515
6,mobileOG_000312220|istA|WP_106561525.1|integration/excision|NA|Plasmid RefSeq|Homology,CP019515_44 # 46106 # 47137 # -1 # ID=1_44;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.636,65.4,447.6,344,1.8e-124,344,1,344,2,343,mobileOG_000312220,istA,WP_106561525.1,integration/excision,NA,Plasmid RefSeq,Homology,CP019515_44, 46106 # 47137 # -1 , 46106,47137,-1 ,1_44,1,44,00,ATG,None,None,0.636,CP019515,mobileOG_000312220_CP019515
7,mobileOG_000274864|insH6|A0A5Q7MTB9|integration/excision|NA|ISFinder|Homology,CP019515_47 # 48205 # 49239 # -1 # ID=1_47;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.610,85.6,557.4,343,1.6e-157,345,2,340,3,341,mobileOG_000274864,insH6,A0A5Q7MTB9,integration/excision,NA,ISFinder,Homology,CP019515_47, 48205 # 49239 # -1 , 48205,49239,-1 ,1_47,1,47,00,ATG,None,None,0.610,CP019515,mobileOG_000274864_CP019515
8,mobileOG_000726762|NA:Keyword|Q5H569|integration/excision|NA|ISFinder|Keyword Search,CP019515_57 # 61996 # 63171 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.634,97.7,778.5,439,5.2e-224,392,50,439,2,391,mobileOG_000726762,NA:Keyword,Q5H569,integration/excision,NA,ISFinder,Keyword Search,CP019515_57, 61996 # 63171 # 1 , 61996,63171,1 ,1_57,1,57,00,ATG,GGA/GAG/AGG,5-10bp,0.634,CP019515,mobileOG_000726762_CP019515
9,mobileOG_000274956|istA|CBH95837.1|integration/excision|NA|ISFinder|Homology,CP019515_83 # 87958 # 88455 # -1 # ID=1_83;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.655,68.8,216.5,231,3.3e-55,166,57,216,3,162,mobileOG_000274956,istA,CBH95837.1,integration/excision,NA,ISFinder,Homology,CP019515_83, 87958 # 88455 # -1 , 87958,88455,-1 ,1_83,1,83,00,ATG,None,None,0.655,CP019515,mobileOG_000274956_CP019515
