############################################
CP047492_1 ( Unknown ) 
--------------------------------------------
### System: CAS-TypeIC (UserReplicon_CAS-TypeIC_1)
#SequenceID	Cas-type/subtype	Gene status	System	Type	Begin	End	Strand	Other_information
CP047492_1_833	cas2_TypeI-II-III	accessory	CAS	CDS	899469	899759	-	ID=1_833;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.601;conf=99.98;score=37.33;cscore=20.96;sscore=16.37;rscore=10.29;uscore=0.33;tscore=4.63;
CP047492_1_834	cas1_TypeIC	mandatory	CAS-TypeIC	CDS	899774	900808	-	ID=1_834;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.663;conf=100.00;score=164.01;cscore=146.67;sscore=17.34;rscore=10.29;uscore=1.17;tscore=4.63;
CP047492_1_835	cas4_TypeI-II	accessory	CAS	CDS	900811	901443	-	ID=1_835;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.684;conf=100.00;score=104.62;cscore=88.36;sscore=16.26;rscore=10.29;uscore=0.28;tscore=4.63;
CP047492_1_836	cas7c_TypeIC	mandatory	CAS-TypeIC	CDS	901463	902329	-	ID=1_836;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.630;conf=99.99;score=190.90;cscore=168.76;sscore=22.14;rscore=14.91;uscore=1.31;tscore=4.63;
CP047492_1_837	cas8c_TypeIC	mandatory	CAS-TypeIC	CDS	902326	904170	-	ID=1_837;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.637;conf=99.99;score=222.19;cscore=216.27;sscore=5.92;rscore=-1.19;uscore=-1.55;tscore=4.63;
CP047492_1_838	cas5c_TypeIC	mandatory	CAS-TypeIC	CDS	904167	904841	-	ID=1_838;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.662;conf=100.00;score=101.98;cscore=93.87;sscore=8.11;rscore=2.54;uscore=0.94;tscore=4.63;
CP047492_1_839	cas3_TypeI	accessory	CAS	CDS	904969	907260	-	ID=1_839;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.636;conf=99.99;score=261.55;cscore=247.51;sscore=14.04;rscore=10.29;uscore=-0.22;tscore=4.63;
####Summary system CAS-TypeIC:begin=899469;end=907260:{sequenceID=CP047492_1} : [cas2_TypeI-II-III (899469,899759,-); cas1_TypeIC (899774,900808,-); cas4_TypeI-II (900811,901443,-); cas7c_TypeIC (901463,902329,-); cas8c_TypeIC (902326,904170,-); cas5c_TypeIC (904167,904841,-); cas3_TypeI (904969,907260,-)]


