Contig,Start,Stop,Score,Threhold
CP046479_1,1,5000,0.159,11.227
CP046479_1,27500,35000,0.171,11.227
CP046479_1,55000,67500,0.133,11.227
CP046479_1,80000,87500,0.161,11.227
CP046479_1,110000,120000,0.138,11.227
CP046479_1,130000,140000,0.3,11.227
CP046479_1,215000,222500,0.119,11.227
CP046479_1,275000,282500,0.133,11.227
CP046479_1,287500,302500,0.361,11.227
CP046479_1,310000,315000,0.138,11.227
CP046479_1,337500,342500,0.118,11.227
CP046479_1,512500,517500,0.113,11.227
CP046479_1,592500,600000,0.12,11.227
CP046479_1,670000,677500,0.403,11.227
CP046479_1,737500,750000,0.14,11.227
CP046479_1,990000,997500,0.141,11.227
CP046479_1,1012500,1020000,0.122,11.227
CP046479_1,1037500,1050000,0.118,11.227
CP046479_1,1087500,1100000,0.143,11.227
CP046479_1,1177500,1185000,0.126,11.227
CP046479_1,1210000,1230000,0.17,11.227
CP046479_1,1367500,1372500,0.128,11.227
CP046479_1,1380000,1395000,0.601,11.227
CP046479_1,1450000,1455000,0.139,11.227
CP046479_1,1465000,1470000,0.116,11.227
CP046479_1,1482500,1492500,0.139,11.227
CP046479_1,1557500,1582500,0.211,11.227
CP046479_1,1630000,1635000,0.146,11.227
CP046479_1,1640000,1647500,0.238,11.227
CP046479_1,1740000,1745000,0.12,11.227
CP046479_1,1770000,1780000,0.378,11.227
CP046479_1,1802500,1810000,0.15,11.227
CP046479_1,1815000,1822500,0.121,11.227
CP046479_1,1842500,1850000,0.134,11.227
CP046479_1,1995000,2002500,0.145,11.227
CP046479_1,2115000,2122500,0.116,11.227
CP046479_1,2157500,2167500,0.188,11.227
CP046479_1,2220000,2225000,0.128,11.227
CP046479_1,2270000,2297500,0.261,11.227
CP046479_1,2330000,2337500,0.13,11.227
CP046479_1,2410000,2415000,0.117,11.227
CP046479_1,2432500,2437500,0.117,11.227
CP046479_1,2470000,2475000,0.167,11.227
CP046479_1,2507500,2512500,0.118,11.227
CP046479_1,2540000,2555000,0.179,11.227
CP046479_1,2565000,2570000,0.127,11.227
CP046479_1,2660000,2707500,0.168,11.227
CP046479_1,2775000,2792500,0.165,11.227
CP046479_1,2857500,2877500,0.151,11.227
CP046479_1,2940000,2955000,0.225,11.227
CP046479_1,2957500,2972500,0.144,11.227
CP046479_1,2992500,3000000,0.149,11.227
CP046479_1,3005000,3010000,0.133,11.227
CP046479_1,3012500,3017500,0.159,11.227
CP046479_1,3047500,3052500,0.115,11.227
CP046479_1,3097500,3105000,0.13,11.227
CP046479_1,3175000,3187500,0.187,11.227
CP046479_1,3195000,3205000,0.153,11.227
CP046479_1,3225000,3230000,0.238,11.227
CP046479_1,3240000,3252500,0.231,11.227
CP046479_1,3272500,3277500,0.113,11.227
CP046479_1,3355000,3360000,0.113,11.227
CP046479_1,3370000,3377500,0.14,11.227
CP046479_1,3387500,3405000,0.227,11.227
CP046479_1,3415000,3420000,0.144,11.227
CP046479_1,3422500,3430000,0.132,11.227
CP046479_1,3507500,3512500,0.115,11.227
CP046479_1,3530000,3540000,0.229,11.227
CP046479_1,3545000,3550000,0.142,11.227
CP046479_1,3615000,3625000,0.201,11.227
CP046479_1,3650000,3657500,0.168,11.227
CP046479_1,3670000,3695000,0.215,11.227
CP046479_1,3707500,3720000,0.23,11.227
CP046479_1,3725000,3740000,0.162,11.227
CP046479_1,3785000,3790000,0.132,11.227
CP046479_1,3792500,3830000,0.169,11.227
CP046479_1,3910000,3915000,0.129,11.227
CP046479_1,3925000,3930000,0.134,11.227
CP046479_1,3997500,4002500,0.119,11.227
CP046479_1,4035000,4045000,0.2,11.227
CP046479_1,4125000,4145000,0.341,11.227
CP046479_1,4185000,4190000,0.129,11.227
CP046479_1,4227500,4232500,0.128,11.227
CP046479_1,4290000,4295000,0.14,11.227
CP046479_1,4350000,4402500,0.225,11.227
CP046479_1,4412500,4417500,0.191,11.227
CP046479_1,4435000,4447500,0.409,11.227
CP046479_1,4477500,4485000,0.151,11.227
CP046479_1,4527500,4535000,0.216,11.227
CP046479_1,4562500,4570000,0.294,11.227
CP046479_1,4572500,4577500,0.16,11.227
CP046479_1,4712500,4717500,0.141,11.227
CP046479_1,4727500,4735000,0.147,11.227
CP046479_1,4787500,4795000,0.175,11.227
CP046479_1,4812500,4817500,0.157,11.227
CP046479_1,4860000,4865000,0.145,11.227
CP046479_1,4960000,4972500,0.229,11.227
