,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000056365|tnp1|Q8NKY7|integration/excision|NA|COMPASS|Homology,CP086372_2 # 1757 # 1978 # 1 # ID=1_2;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.689,83.6,118.6,90,4.2e-26,74,18,90,1,73,mobileOG_000056365,tnp1,Q8NKY7,integration/excision,NA,COMPASS,Homology,CP086372_2, 1757 # 1978 # 1 , 1757,1978,1 ,1_2,1,2,00,GTG,None,None,0.689,CP086372,mobileOG_000056365_CP086372
1,mobileOG_000063144|NA|WP_107320815.1|integration/excision|NA|COMPASS|Homology,CP086372_3 # 2163 # 2462 # -1 # ID=1_3;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.610,73.7,154.5,300,9.3e-37,100,202,300,1,99,mobileOG_000063144,NA,WP_107320815.1,integration/excision,NA,COMPASS,Homology,CP086372_3, 2163 # 2462 # -1 , 2163,2462,-1 ,1_3,1,3,00,GTG,None,None,0.610,CP086372,mobileOG_000063144_CP086372
2,mobileOG_000066576|tISRso5-|WP_047906396.1|integration/excision|NA|Multiple|Homology,CP086372_18 # 27275 # 27598 # 1 # ID=1_18;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.580,71.0,169.5,360,3e-41,108,254,360,1,107,mobileOG_000066576,tISRso5-,WP_047906396.1,integration/excision,NA,Multiple,Homology,CP086372_18, 27275 # 27598 # 1 , 27275,27598,1 ,1_18,1,18,00,GTG,AGGA,5-10bp,0.580,CP086372,mobileOG_000066576_CP086372
3,"mobileOG_000134856|qmcA|E2XBS9|phage|lysis/lysogeny,regulation|GPD|Homology",CP086372_36 # 47957 # 48922 # -1 # ID=1_36;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.630,69.3,276.6,305,5.2e-73,322,4,305,6,308,mobileOG_000134856,qmcA,E2XBS9,phage,"lysis/lysogeny,regulation",GPD,Homology,CP086372_36, 47957 # 48922 # -1 , 47957,48922,-1 ,1_36,1,36,00,ATG,GGA/GAG/AGG,5-10bp,0.630,CP086372,mobileOG_000134856_CP086372
4,mobileOG_000726770|NA:Keyword|A0A346MH97|integration/excision|NA|ISFinder|Keyword Search,CP086372_51 # 72819 # 74078 # 1 # ID=1_51;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.624,97.9,736.1,411,3.1000000000000004e-211,420,1,382,1,382,mobileOG_000726770,NA:Keyword,A0A346MH97,integration/excision,NA,ISFinder,Keyword Search,CP086372_51, 72819 # 74078 # 1 , 72819,74078,1 ,1_51,1,51,00,ATG,GGA/GAG/AGG,5-10bp,0.624,CP086372,mobileOG_000726770_CP086372
5,mobileOG_000726770|NA:Keyword|A0A346MH97|integration/excision|NA|ISFinder|Keyword Search,CP086372_62 # 90771 # 92006 # 1 # ID=1_62;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.633,99.3,803.9,411,1.2e-231,412,1,411,1,411,mobileOG_000726770,NA:Keyword,A0A346MH97,integration/excision,NA,ISFinder,Keyword Search,CP086372_62, 90771 # 92006 # 1 , 90771,92006,1 ,1_62,1,62,00,ATG,GGA/GAG/AGG,5-10bp,0.633,CP086372,mobileOG_000726770_CP086372
6,mobileOG_000726764|NA:Keyword|Q9L792|integration/excision|NA|ISFinder|Keyword Search,CP086372_68 # 97944 # 98282 # -1 # ID=1_68;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.637,99.1,218.0,320,7.799999999999999e-56,113,213,320,5,112,mobileOG_000726764,NA:Keyword,Q9L792,integration/excision,NA,ISFinder,Keyword Search,CP086372_68, 97944 # 98282 # -1 , 97944,98282,-1 ,1_68,1,68,00,GTG,GGAG/GAGG,5-10bp,0.637,CP086372,mobileOG_000726764_CP086372
7,mobileOG_000726764|NA:Keyword|Q9L792|integration/excision|NA|ISFinder|Keyword Search,CP086372_69 # 98738 # 98905 # -1 # ID=1_69;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.619,100.0,114.4,320,6e-25,56,1,49,1,49,mobileOG_000726764,NA:Keyword,Q9L792,integration/excision,NA,ISFinder,Keyword Search,CP086372_69, 98738 # 98905 # -1 , 98738,98905,-1 ,1_69,1,69,00,ATG,GGAGG,5-10bp,0.619,CP086372,mobileOG_000726764_CP086372
8,mobileOG_000033093|tISRso5-|WP_011000070.1|integration/excision|NA|Multiple|Homology,CP086372_72 # 101968 # 103230 # 1 # ID=1_72;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.611,65.7,496.1,363,5.5e-139,421,3,363,61,420,mobileOG_000033093,tISRso5-,WP_011000070.1,integration/excision,NA,Multiple,Homology,CP086372_72, 101968 # 103230 # 1 , 101968,103230,1 ,1_72,1,72,00,ATG,GGA/GAG/AGG,11-12bp,0.611,CP086372,mobileOG_000033093_CP086372
9,mobileOG_000720479|NA:Keyword|A9IEE9|integration/excision|NA|ICE|Keyword Search,CP086372_96 # 136449 # 136754 # -1 # ID=1_96;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.565,83.2,182.6,128,3.3e-45,102,28,128,1,101,mobileOG_000720479,NA:Keyword,A9IEE9,integration/excision,NA,ICE,Keyword Search,CP086372_96, 136449 # 136754 # -1 , 136449,136754,-1 ,1_96,1,96,00,TTG,GGA/GAG/AGG,5-10bp,0.565,CP086372,mobileOG_000720479_CP086372
