,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000026103|gyrB|P0AES6|replication/recombination/repair|NA|Multiple|Manual,CP047493_1_4 # 5181 # 7625 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.642,61.3,966.1,804,3.6e-280,815,2,804,12,814,mobileOG_000026103,gyrB,P0AES6,replication/recombination/repair,NA,Multiple,Manual,CP047493_1_4, 5181 # 7625 # 1 , 5181,7625,1 ,1_4,1,4,00,ATG,None,None,0.642,CP047493_1,mobileOG_000026103_CP047493_1
1,mobileOG_000277182|insH6|Q5H6N2|integration/excision|NA|ISFinder|Homology,CP047493_1_19 # 23115 # 23870 # -1 # ID=1_19;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.611,99.2,496.9,326,1.9e-139,252,76,326,1,251,mobileOG_000277182,insH6,Q5H6N2,integration/excision,NA,ISFinder,Homology,CP047493_1_19, 23115 # 23870 # -1 , 23115,23870,-1 ,1_19,1,19,00,ATG,GGA/GAG/AGG,5-10bp,0.611,CP047493_1,mobileOG_000277182_CP047493_1
2,mobileOG_000041116|insH6|WP_022557821.1|integration/excision|NA|Multiple|Homology,CP047493_1_29 # 33555 # 33758 # -1 # ID=1_29;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.608,88.1,118.2,327,5e-26,68,1,59,1,59,mobileOG_000041116,insH6,WP_022557821.1,integration/excision,NA,Multiple,Homology,CP047493_1_29, 33555 # 33758 # -1 , 33555,33758,-1 ,1_29,1,29,00,ATG,GGA/GAG/AGG,5-10bp,0.608,CP047493_1,mobileOG_000041116_CP047493_1
3,mobileOG_000725735|NA:Keyword|A0A0C5V5L1|integration/excision|NA|ISFinder|Keyword Search,CP047493_1_35 # 38141 # 39097 # -1 # ID=1_35;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.626,100.0,616.3,318,2.8e-175,319,1,318,1,318,mobileOG_000725735,NA:Keyword,A0A0C5V5L1,integration/excision,NA,ISFinder,Keyword Search,CP047493_1_35, 38141 # 39097 # -1 , 38141,39097,-1 ,1_35,1,35,00,ATG,GGAG/GAGG,5-10bp,0.626,CP047493_1,mobileOG_000725735_CP047493_1
4,mobileOG_000343778|insI3|WP_028853927.1|integration/excision|NA|Plasmid RefSeq|Homology,CP047493_1_43 # 43754 # 44458 # -1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.594,75.8,368.2,339,9.6e-101,235,107,329,1,223,mobileOG_000343778,insI3,WP_028853927.1,integration/excision,NA,Plasmid RefSeq,Homology,CP047493_1_43, 43754 # 44458 # -1 , 43754,44458,-1 ,1_43,1,43,00,ATG,None,None,0.594,CP047493_1,mobileOG_000343778_CP047493_1
5,mobileOG_000274594|istA|Q5P1T1|integration/excision|NA|ISFinder|Homology,CP047493_1_44 # 44842 # 45282 # -1 # ID=1_44;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612,73.6,227.3,357,1.7000000000000002e-58,147,212,355,1,144,mobileOG_000274594,istA,Q5P1T1,integration/excision,NA,ISFinder,Homology,CP047493_1_44, 44842 # 45282 # -1 , 44842,45282,-1 ,1_44,1,44,00,GTG,None,None,0.612,CP047493_1,mobileOG_000274594_CP047493_1
6,mobileOG_000312220|istA|WP_106561525.1|integration/excision|NA|Plasmid RefSeq|Homology,CP047493_1_45 # 45313 # 45873 # -1 # ID=1_45;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.651,62.6,230.7,344,1.9000000000000001e-59,187,1,187,2,186,mobileOG_000312220,istA,WP_106561525.1,integration/excision,NA,Plasmid RefSeq,Homology,CP047493_1_45, 45313 # 45873 # -1 , 45313,45873,-1 ,1_45,1,45,00,ATG,None,None,0.651,CP047493_1,mobileOG_000312220_CP047493_1
7,mobileOG_000041116|insH6|WP_022557821.1|integration/excision|NA|Multiple|Homology,CP047493_1_48 # 46994 # 47974 # -1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.620,93.3,611.3,327,9.1e-174,327,1,327,1,326,mobileOG_000041116,insH6,WP_022557821.1,integration/excision,NA,Multiple,Homology,CP047493_1_48, 46994 # 47974 # -1 , 46994,47974,-1 ,1_48,1,48,00,ATG,None,None,0.620,CP047493_1,mobileOG_000041116_CP047493_1
8,mobileOG_000726762|NA:Keyword|Q5H569|integration/excision|NA|ISFinder|Keyword Search,CP047493_1_58 # 60731 # 61975 # 1 # ID=1_58;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.633,98.9,718.0,439,8.8e-206,415,50,401,2,353,mobileOG_000726762,NA:Keyword,Q5H569,integration/excision,NA,ISFinder,Keyword Search,CP047493_1_58, 60731 # 61975 # 1 , 60731,61975,1 ,1_58,1,58,00,ATG,GGA/GAG/AGG,5-10bp,0.633,CP047493_1,mobileOG_000726762_CP047493_1
9,mobileOG_000274956|istA|CBH95837.1|integration/excision|NA|ISFinder|Homology,CP047493_1_84 # 86678 # 87175 # -1 # ID=1_84;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.663,68.1,211.1,231,1.4e-53,166,57,216,3,162,mobileOG_000274956,istA,CBH95837.1,integration/excision,NA,ISFinder,Homology,CP047493_1_84, 86678 # 87175 # -1 , 86678,87175,-1 ,1_84,1,84,00,ATG,None,None,0.663,CP047493_1,mobileOG_000274956_CP047493_1
