,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000375841|traL|WP_075240291.1|transfer|conjugation|Plasmid RefSeq|Homology,CP046480_1_2 # 872 # 2086 # 1 # ID=1_2;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.585,100.0,780.4,404,1.4000000000000001e-224,405,1,404,1,404,mobileOG_000375841,traL,WP_075240291.1,transfer,conjugation,Plasmid RefSeq,Homology,CP046480_1_2, 872 # 2086 # 1 , 872,2086,1 ,1_2,1,2,00,ATG,GGAG/GAGG,5-10bp,0.585,CP046480_1,mobileOG_000375841_CP046480_1
1,mobileOG_000756329|NA:Keyword|WP_075239260.1|transfer|NA|Plasmid RefSeq|Keyword Search,CP046480_1_3 # 2086 # 3147 # 1 # ID=1_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.560,100.0,704.9,353,6.6e-202,354,1,353,1,353,mobileOG_000756329,NA:Keyword,WP_075239260.1,transfer,NA,Plasmid RefSeq,Keyword Search,CP046480_1_3, 2086 # 3147 # 1 , 2086,3147,1 ,1_3,1,3,00,ATG,GGA/GAG/AGG,5-10bp,0.560,CP046480_1,mobileOG_000756329_CP046480_1
2,mobileOG_000310205|traN|WP_075239259.1|transfer|conjugation|Plasmid RefSeq|Homology,CP046480_1_4 # 3157 # 5076 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.558,100.0,1267.3,639,0.0,640,1,639,1,639,mobileOG_000310205,traN,WP_075239259.1,transfer,conjugation,Plasmid RefSeq,Homology,CP046480_1_4, 3157 # 5076 # 1 , 3157,5076,1 ,1_4,1,4,00,ATG,GGA/GAG/AGG,5-10bp,0.558,CP046480_1,mobileOG_000310205_CP046480_1
3,mobileOG_000308162|NA|WP_075239255.1|integration/excision|NA|Plasmid RefSeq|Homology,CP046480_1_9 # 8281 # 8847 # -1 # ID=1_9;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.651,100.0,363.2,188,2.5e-99,189,1,188,1,188,mobileOG_000308162,NA,WP_075239255.1,integration/excision,NA,Plasmid RefSeq,Homology,CP046480_1_9, 8281 # 8847 # -1 , 8281,8847,-1 ,1_9,1,9,00,ATG,None,None,0.651,CP046480_1,mobileOG_000308162_CP046480_1
4,"mobileOG_000358374|traR|WP_075239253.1|transfer|conjugation,regulation|Plasmid RefSeq|Homology",CP046480_1_11 # 9916 # 10935 # -1 # ID=1_11;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.590,100.0,671.0,339,1e-191,340,1,339,1,339,mobileOG_000358374,traR,WP_075239253.1,transfer,"conjugation,regulation",Plasmid RefSeq,Homology,CP046480_1_11, 9916 # 10935 # -1 , 9916,10935,-1 ,1_11,1,11,00,ATG,GGxGG,5-10bp,0.590,CP046480_1,mobileOG_000358374_CP046480_1
5,mobileOG_000348895|korB|WP_075239249.1|stability/transfer/defense|regulation|Plasmid RefSeq|Homology,CP046480_1_15 # 12746 # 13813 # -1 # ID=1_15;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.564,100.0,669.5,355,3.1e-191,356,1,355,1,355,mobileOG_000348895,korB,WP_075239249.1,stability/transfer/defense,regulation,Plasmid RefSeq,Homology,CP046480_1_15, 12746 # 13813 # -1 , 12746,13813,-1 ,1_15,1,15,00,ATG,GGAG/GAGG,5-10bp,0.564,CP046480_1,mobileOG_000348895_CP046480_1
6,mobileOG_000752456|NA:Keyword|WP_075239242.1|transfer|NA|Plasmid RefSeq|Keyword Search,CP046480_1_23 # 19425 # 19730 # 1 # ID=1_23;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.582,100.0,196.4,101,2.2e-49,102,1,101,1,101,mobileOG_000752456,NA:Keyword,WP_075239242.1,transfer,NA,Plasmid RefSeq,Keyword Search,CP046480_1_23, 19425 # 19730 # 1 , 19425,19730,1 ,1_23,1,23,00,ATG,GGA/GAG/AGG,5-10bp,0.582,CP046480_1,mobileOG_000752456_CP046480_1
7,mobileOG_000378045|virB3|WP_075239241.1|transfer|conjugation|Plasmid RefSeq|Homology,CP046480_1_24 # 19744 # 20112 # 1 # ID=1_24;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.553,100.0,263.1,122,2.2999999999999998e-69,123,1,122,1,122,mobileOG_000378045,virB3,WP_075239241.1,transfer,conjugation,Plasmid RefSeq,Homology,CP046480_1_24, 19744 # 20112 # 1 , 19744,20112,1 ,1_24,1,24,00,ATG,GGAG/GAGG,5-10bp,0.553,CP046480_1,mobileOG_000378045_CP046480_1
8,mobileOG_000327734|virB4|WP_075239240.1|transfer|conjugation|Plasmid RefSeq|Homology,CP046480_1_25 # 20112 # 22553 # 1 # ID=1_25;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.566,100.0,1651.0,813,0.0,814,1,813,1,813,mobileOG_000327734,virB4,WP_075239240.1,transfer,conjugation,Plasmid RefSeq,Homology,CP046480_1_25, 20112 # 22553 # 1 , 20112,22553,1 ,1_25,1,25,00,ATG,AGGA,5-10bp,0.566,CP046480_1,mobileOG_000327734_CP046480_1
9,mobileOG_000748937|NA:Keyword|WP_075239237.1|transfer|NA|Plasmid RefSeq|Keyword Search,CP046480_1_28 # 23577 # 24524 # 1 # ID=1_28;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.565,100.0,575.1,315,7e-163,316,1,315,1,315,mobileOG_000748937,NA:Keyword,WP_075239237.1,transfer,NA,Plasmid RefSeq,Keyword Search,CP046480_1_28, 23577 # 24524 # 1 , 23577,24524,1 ,1_28,1,28,00,ATG,GGA/GAG/AGG,5-10bp,0.565,CP046480_1,mobileOG_000748937_CP046480_1
10,mobileOG_000749495|NA:Keyword|WP_075239236.1|transfer|NA|Plasmid RefSeq|Keyword Search,CP046480_1_29 # 24825 # 25634 # 1 # ID=1_29;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.598,100.0,495.0,292,7.9e-139,270,1,247,1,247,mobileOG_000749495,NA:Keyword,WP_075239236.1,transfer,NA,Plasmid RefSeq,Keyword Search,CP046480_1_29, 24825 # 25634 # 1 , 24825,25634,1 ,1_29,1,29,01,ATG,GGAG/GAGG,5-10bp,0.598,CP046480_1,mobileOG_000749495_CP046480_1
