Contig,Start,Stop,Score,Threhold
CP033187,1,5000,0.191,13.948
CP033187,30000,37500,0.34,13.948
CP033187,50000,57500,0.192,13.948
CP033187,82500,90000,0.203,13.948
CP033187,102500,107500,0.149,13.948
CP033187,112500,122500,0.186,13.948
CP033187,275000,282500,0.149,13.948
CP033187,290000,302500,0.525,13.948
CP033187,312500,317500,0.218,13.948
CP033187,340000,345000,0.146,13.948
CP033187,357500,365000,0.165,13.948
CP033187,407500,412500,0.164,13.948
CP033187,480000,487500,0.175,13.948
CP033187,517500,530000,0.505,13.948
CP033187,545000,555000,0.231,13.948
CP033187,612500,630000,0.242,13.948
CP033187,722500,730000,0.153,13.948
CP033187,770000,790000,0.417,13.948
CP033187,802500,807500,0.179,13.948
CP033187,810000,817500,0.189,13.948
CP033187,820000,825000,0.175,13.948
CP033187,867500,880000,0.251,13.948
CP033187,897500,902500,0.154,13.948
CP033187,965000,970000,0.147,13.948
CP033187,1000000,1005000,0.163,13.948
CP033187,1027500,1032500,0.149,13.948
CP033187,1035000,1042500,0.191,13.948
CP033187,1055000,1062500,0.15,13.948
CP033187,1085000,1097500,0.158,13.948
CP033187,1175000,1180000,0.158,13.948
CP033187,1217500,1225000,0.153,13.948
CP033187,1250000,1270000,0.202,13.948
CP033187,1415000,1430000,0.689,13.948
CP033187,1480000,1490000,0.207,13.948
CP033187,1492500,1500000,0.262,13.948
CP033187,1510000,1515000,0.159,13.948
CP033187,1527500,1537500,0.168,13.948
CP033187,1607500,1632500,0.326,13.948
CP033187,1682500,1687500,0.153,13.948
CP033187,1692500,1707500,0.298,13.948
CP033187,1795000,1800000,0.14,13.948
CP033187,1822500,1832500,0.386,13.948
CP033187,1857500,1862500,0.159,13.948
CP033187,1870000,1875000,0.166,13.948
CP033187,1895000,1902500,0.161,13.948
CP033187,1930000,1937500,0.156,13.948
CP033187,2045000,2052500,0.167,13.948
CP033187,2172500,2182500,0.16,13.948
CP033187,2195000,2215000,0.2,13.948
CP033187,2350000,2402500,0.245,13.948
CP033187,2405000,2412500,0.161,13.948
CP033187,2517500,2530000,0.225,13.948
CP033187,2557500,2562500,0.144,13.948
CP033187,2595000,2600000,0.176,13.948
CP033187,2650000,2657500,0.165,13.948
CP033187,2717500,2722500,0.142,13.948
CP033187,2730000,2735000,0.218,13.948
CP033187,2770000,2790000,0.264,13.948
CP033187,2840000,2845000,0.167,13.948
CP033187,2897500,2905000,0.209,13.948
CP033187,2985000,3002500,0.289,13.948
CP033187,3005000,3027500,0.229,13.948
CP033187,3042500,3052500,0.185,13.948
CP033187,3142500,3150000,0.153,13.948
CP033187,3220000,3240000,0.21,13.948
CP033187,3247500,3255000,0.192,13.948
CP033187,3260000,3265000,0.145,13.948
CP033187,3277500,3285000,0.228,13.948
CP033187,3292500,3307500,0.268,13.948
CP033187,3425000,3430000,0.203,13.948
CP033187,3440000,3457500,0.299,13.948
CP033187,3467500,3480000,0.16,13.948
CP033187,3557500,3562500,0.148,13.948
CP033187,3582500,3600000,0.161,13.948
CP033187,3662500,3667500,0.188,13.948
CP033187,3702500,3712500,0.254,13.948
CP033187,3717500,3727500,0.219,13.948
CP033187,3730000,3735000,0.142,13.948
CP033187,3745000,3767500,0.306,13.948
CP033187,3780000,3790000,0.194,13.948
CP033187,3792500,3797500,0.282,13.948
CP033187,3845000,3890000,0.198,13.948
CP033187,4092500,4097500,0.143,13.948
CP033187,4167500,4177500,0.239,13.948
CP033187,4182500,4187500,0.156,13.948
CP033187,4235000,4240000,0.207,13.948
CP033187,4245000,4257500,0.289,13.948
CP033187,4357500,4362500,0.146,13.948
CP033187,4402500,4407500,0.166,13.948
CP033187,4410000,4415000,0.172,13.948
CP033187,4505000,4515000,0.178,13.948
CP033187,4540000,4547500,0.272,13.948
CP033187,4550000,4557500,0.153,13.948
CP033187,4692500,4697500,0.148,13.948
CP033187,4707500,4712500,0.207,13.948
CP033187,4770000,4777500,0.155,13.948
CP033187,4795000,4800000,0.178,13.948
CP033187,4842500,4850000,0.157,13.948
CP033187,4937500,4945000,0.167,13.948
