,Sequence Title,Query Title,Pident,Bitscore,Subject Sequence Length,e-value,Query Sequence Length,Start of Alignment in Subject,End of Alignment in Query,Start of Alignment in Query,End of Alignment in Query,mobileOG ID,Gene Name,Best Hit Accession ID,Major mobileOG Category,Minor mobileOG Category,Source Database,Evidence Type,Contig/ORF Name,ORF_Start_Stop_Strands,ORF_Start,ORF_End,Sense or Antisense Strand,Prodigal ID,Prodigal Designated Contigs,Unique_ORF,Partial Tag,Start Codon,RBS Motif,RBS Spacer,GC Content,Specific Contig,Final Sample Name
0,mobileOG_000026103|gyrB|P0AES6|replication/recombination/repair|NA|Multiple|Manual,CP036256_4 # 5046 # 7490 # 1 # ID=1_4;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.646,61.6,973.4,804,2.3000000000000003e-282,815,2,804,12,814,mobileOG_000026103,gyrB,P0AES6,replication/recombination/repair,NA,Multiple,Manual,CP036256_4, 5046 # 7490 # 1 , 5046,7490,1 ,1_4,1,4,00,ATG,None,None,0.646,CP036256,mobileOG_000026103_CP036256
1,mobileOG_000277182|insH6|Q5H6N2|integration/excision|NA|ISFinder|Homology,CP036256_48 # 68254 # 69354 # -1 # ID=1_48;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.618,94.7,574.7,326,1.1000000000000001e-162,367,1,304,1,304,mobileOG_000277182,insH6,Q5H6N2,integration/excision,NA,ISFinder,Homology,CP036256_48, 68254 # 69354 # -1 , 68254,69354,-1 ,1_48,1,48,00,ATG,None,None,0.618,CP036256,mobileOG_000277182_CP036256
2,mobileOG_000418745|NA:Keyword|A0A1L5Y8X5|integration/excision|NA|COMPASS|Keyword Search,CP036256_57 # 80310 # 80666 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.585,67.0,153.7,125,1.9000000000000002e-36,119,5,116,6,117,mobileOG_000418745,NA:Keyword,A0A1L5Y8X5,integration/excision,NA,COMPASS,Keyword Search,CP036256_57, 80310 # 80666 # 1 , 80310,80666,1 ,1_57,1,57,00,ATG,None,None,0.585,CP036256,mobileOG_000418745_CP036256
3,mobileOG_000726765|NA:Keyword|Q9AG81|integration/excision|NA|ISFinder|Keyword Search,CP036256_58 # 80653 # 81108 # 1 # ID=1_58;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.588,97.4,299.3,266,3.6e-80,152,116,266,1,151,mobileOG_000726765,NA:Keyword,Q9AG81,integration/excision,NA,ISFinder,Keyword Search,CP036256_58, 80653 # 81108 # 1 , 80653,81108,1 ,1_58,1,58,00,GTG,GGA/GAG/AGG,5-10bp,0.588,CP036256,mobileOG_000726765_CP036256
4,mobileOG_000726771|NA:Keyword|Q5H6E5|integration/excision|NA|ISFinder|Keyword Search,CP036256_74 # 94275 # 95657 # 1 # ID=1_74;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.645,94.6,858.6,458,4.6e-248,461,1,458,1,460,mobileOG_000726771,NA:Keyword,Q5H6E5,integration/excision,NA,ISFinder,Keyword Search,CP036256_74, 94275 # 95657 # 1 , 94275,95657,1 ,1_74,1,74,00,ATG,None,None,0.645,CP036256,mobileOG_000726771_CP036256
5,mobileOG_000733662|NA:Keyword|WP_006449292.1|integration/excision|NA|Multiple|Keyword Search,CP036256_76 # 97762 # 97899 # -1 # ID=1_76;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.580,86.7,85.9,268,1.9e-16,46,1,45,1,45,mobileOG_000733662,NA:Keyword,WP_006449292.1,integration/excision,NA,Multiple,Keyword Search,CP036256_76, 97762 # 97899 # -1 , 97762,97899,-1 ,1_76,1,76,00,ATG,None,None,0.580,CP036256,mobileOG_000733662_CP036256
6,mobileOG_000312220|istA|WP_106561525.1|integration/excision|NA|Plasmid RefSeq|Homology,CP036256_79 # 99951 # 101009 # 1 # ID=1_79;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.625,66.2,459.1,344,6.2e-128,353,2,344,12,352,mobileOG_000312220,istA,WP_106561525.1,integration/excision,NA,Plasmid RefSeq,Homology,CP036256_79, 99951 # 101009 # 1 , 99951,101009,1 ,1_79,1,79,00,ATG,GGA/GAG/AGG,5-10bp,0.625,CP036256,mobileOG_000312220_CP036256
7,mobileOG_000720478|NA:Keyword|A9IEE8|integration/excision|NA|ICE|Keyword Search,CP036256_80 # 101176 # 101526 # 1 # ID=1_80;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.567,84.8,208.4,145,6.399999999999999e-53,117,34,145,1,112,mobileOG_000720478,NA:Keyword,A9IEE8,integration/excision,NA,ICE,Keyword Search,CP036256_80, 101176 # 101526 # 1 , 101176,101526,1 ,1_80,1,80,00,ATG,None,None,0.567,CP036256,mobileOG_000720478_CP036256
8,mobileOG_000720479|NA:Keyword|A9IEE9|integration/excision|NA|ICE|Keyword Search,CP036256_81 # 101565 # 101870 # 1 # ID=1_81;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.585,79.2,175.3,128,5.199999999999999e-43,102,28,128,1,101,mobileOG_000720479,NA:Keyword,A9IEE9,integration/excision,NA,ICE,Keyword Search,CP036256_81, 101565 # 101870 # 1 , 101565,101870,1 ,1_81,1,81,00,TTG,GGA/GAG/AGG,5-10bp,0.585,CP036256,mobileOG_000720479_CP036256
9,mobileOG_000000382|recC|A0A0H2XEP4|replication/recombination/repair|NA|ACLAME|Manual,CP036256_82 # 102381 # 105794 # 1 # ID=1_82;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.686,88.1,1994.5,1134,0.0,1138,1,1134,1,1137,mobileOG_000000382,recC,A0A0H2XEP4,replication/recombination/repair,NA,ACLAME,Manual,CP036256_82, 102381 # 105794 # 1 , 102381,105794,1 ,1_82,1,82,00,ATG,None,None,0.686,CP036256,mobileOG_000000382_CP036256
